dataset,metric,count,mean,median,variance,standard_deviation,minimum,maximum,probability,confidence_level,confidence_interval_lower,confidence_interval_upper
journey,booking_amount,8000,2757.6455,2750.74,1707360.7198,1306.6601,500.04,4999.2,,0.95,2729.012,2786.2789
journey,payment_attempts,8000,1.3196,1.0,0.3663,0.6052,1.0,3.0,,0.95,1.3064,1.3329
journey,failed_payments,8000,0.3196,0.0,0.3663,0.6052,0.0,2.0,,0.95,0.3064,0.3329
journey,retry_count,8000,0.3196,0.0,0.3663,0.6052,0.0,2.0,,0.95,0.3064,0.3329
journey,payment_success_rate,8000,0.865,1.0,0.0576,0.24,0.333,1.0,,0.95,0.8597,0.8702
journey,payment_duration_minutes,8000,2.6094,0.0,29.8809,5.4663,0.0,29.68,,0.95,2.4896,2.7292
journey,total_events,8000,7.7091,7.0,3.4654,1.8616,6.0,13.0,,0.95,7.6683,7.7499
journey,journey_duration_minutes,8000,67.0334,66.86,357.8394,18.9166,22.17,126.65,,0.95,66.6189,67.4479
journey,friction_score,8000,20.5538,0.0,694.4427,26.3523,0.0,100.0,,0.95,19.9763,21.1312
customer_risk,total_bookings,3967,2.0166,2.0,1.2509,1.1184,1.0,8.0,,0.95,1.9818,2.0514
customer_risk,total_failed_payments,3967,0.6446,0.0,0.8792,0.9376,0.0,8.0,,0.95,0.6154,0.6737
customer_risk,total_retries,3967,0.6446,0.0,0.8792,0.9376,0.0,8.0,,0.95,0.6154,0.6737
customer_risk,total_anomalies,3967,0.8062,0.0,1.1901,1.0909,0.0,8.0,,0.95,0.7722,0.8401
customer_risk,problematic_journeys,3967,0.6133,0.0,0.5655,0.752,0.0,6.0,,0.95,0.5899,0.6367
customer_risk,severity_score,3967,31.67,35.0,836.2106,28.9173,0.0,100.0,,0.95,30.7702,32.5699
customer_risk,frequency_score,3967,6.2816,1.67,80.9303,8.9961,0.0,42.5,,0.95,6.0016,6.5615
customer_risk,persistence_score,3967,18.6872,0.0,533.2061,23.0913,0.0,100.0,,0.95,17.9686,19.4058
customer_risk,customer_risk_score,3967,20.1594,18.88,364.6451,19.0957,0.0,75.32,,0.95,19.5652,20.7537
customer_risk,average_friction_score,3967,20.6854,16.67,463.3245,21.525,0.0,100.0,,0.95,20.0156,21.3553
customer_risk,maximum_friction_score,3967,31.67,35.0,836.2106,28.9173,0.0,100.0,,0.95,30.7702,32.5699
journey,probability_failed_payment,8000,0.2452,0.0,0.1851,0.4303,0.0,1.0,0.2452,0.95,0.2358,0.2547
journey,probability_payment_retry,8000,0.2452,0.0,0.1851,0.4303,0.0,1.0,0.2452,0.95,0.2358,0.2547
journey,probability_anomaly,8000,0.3041,0.0,0.2117,0.4601,0.0,1.0,0.3041,0.95,0.294,0.3142
customer_risk,probability_high_or_critical_risk,3967,0.0885,0.0,0.0807,0.284,0.0,1.0,0.0885,0.95,0.0796,0.0973
