cohort_month,cohort_size,repeat_customers,average_bookings,average_revenue,average_booking_value,average_recency_days,average_booking_frequency,total_cohort_revenue,repeat_customer_rate
2025-07,18,16,2.9444,7074.2244,2212.3282,252.4444,0.471,127336.04,0.8889
2025-08,113,89,2.5664,6977.965,2730.3922,272.1947,0.5335,788510.05,0.7876
2025-09,187,142,2.492,7063.4812,2852.1422,247.5455,0.5293,1320870.98,0.7594
2025-10,293,231,2.6382,7424.7374,2791.9942,234.6212,0.5609,2175448.05,0.7884
2025-11,401,303,2.419,6684.2242,2757.0772,242.4663,0.6599,2680373.9,0.7556
2025-12,479,359,2.3215,6554.0448,2811.1725,235.3278,0.7268,3139387.48,0.7495
2026-01,495,341,2.1798,5975.7956,2708.4646,225.5616,0.7601,2958018.81,0.6889
2026-02,356,221,2.0056,5575.9807,2773.7419,219.5028,0.8417,1985049.13,0.6208
2026-03,315,176,1.8444,4996.1853,2698.3058,209.5365,0.8656,1573798.37,0.5587
2026-04,298,159,1.8087,4906.4171,2693.9255,191.9262,0.9802,1462112.3,0.5336
2026-05,269,134,1.6766,4411.011,2604.1471,178.7138,1.047,1186561.97,0.4981
2026-06,175,67,1.4629,4021.6703,2707.0679,162.7943,1.0849,703792.3,0.3829
2026-07,172,65,1.4593,3992.0492,2756.8514,135.3605,1.1243,686632.47,0.3779
2026-08,149,39,1.3221,3489.9678,2631.2212,117.1477,1.1421,520005.2,0.2617
2026-09,108,11,1.1019,3128.3154,2874.9067,94.7778,1.068,337858.06,0.1019
2026-10,79,6,1.0886,3132.4309,2831.404,65.6835,1.0451,247462.04,0.0759
2026-11,46,3,1.0652,2844.4178,2694.6088,39.2391,1.0652,130843.22,0.0652
2026-12,14,0,1.0,2650.2543,2650.2543,14.6429,1.0,37103.56,0.0
