customer_id,first_booking_date,last_booking_date,total_bookings,total_revenue,average_booking_value,cohort_month,recency_days,repeat_booking_flag,active_span_days,booking_frequency,cohort_status
C000001,,,,,,,,,,,NO_BOOKING
C000002,2026-04-13,2026-09-04,3.0,7712.4,2570.7999999999997,2026-04,109.0,1.0,144.0,0.625,ACTIVE_COHORT_MEMBER
C000003,2026-03-28,2026-07-23,2.0,5780.57,2890.285,2026-03,152.0,1.0,117.0,0.5128205128205129,ACTIVE_COHORT_MEMBER
C000004,2026-02-19,2026-02-19,1.0,1842.96,1842.96,2026-02,306.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000005,2025-12-02,2025-12-24,2.0,3260.06,1630.03,2025-12,363.0,1.0,22.0,2.0,ACTIVE_COHORT_MEMBER
C000006,2026-11-06,2026-11-06,1.0,4497.45,4497.45,2026-11,46.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000007,2026-06-25,2026-06-25,1.0,3455.41,3455.41,2026-06,180.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000008,2026-08-28,2026-09-08,2.0,5822.62,2911.31,2026-08,105.0,1.0,11.0,2.0,ACTIVE_COHORT_MEMBER
C000009,,,,,,,,,,,NO_BOOKING
C000010,2026-01-25,2026-08-09,3.0,12121.17,4040.39,2026-01,135.0,1.0,196.0,0.45918367346938777,ACTIVE_COHORT_MEMBER
C000011,2026-01-24,2026-01-24,1.0,2406.1,2406.1,2026-01,332.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000012,2025-12-03,2026-08-22,2.0,6927.23,3463.615,2025-12,122.0,1.0,262.0,0.22900763358778628,ACTIVE_COHORT_MEMBER
C000013,2025-12-25,2025-12-25,1.0,1750.67,1750.67,2025-12,362.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000014,2026-04-29,2026-04-29,1.0,589.09,589.09,2026-04,237.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000015,,,,,,,,,,,NO_BOOKING
