customer_id,total_bookings,total_revenue,average_booking_value,first_booking_date,last_booking_date,recency_days,booking_frequency,repeat_booking_flag,customer_segment,segment_reason,complaint_segment_status,complaint_segment_reason,is_vip,is_loyal,is_new,is_at_risk,is_dormant,cohort_month,cohort_status,cluster_id,cluster_status,segmentation_status,segmentation_method
C000001,0.0,0.0,0.0,,,0.0,0.0,0,OTHER,Does not match an active roadmap segment rule.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,0,0,0,0,,NO_BOOKING,,NO_BOOKING_ACTIVITY,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000002,3.0,7712.4,2570.8,2026-04-13,2026-09-04,109.0,0.625,1,LOYAL,Repeat customer with recency <= 180 days.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,1,0,0,0,2026-04,ACTIVE_COHORT_MEMBER,1.0,CLUSTERED,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000003,2.0,5780.57,2890.28,2026-03-28,2026-07-23,152.0,0.5128,1,LOYAL,Repeat customer with recency <= 180 days.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,1,0,0,0,2026-03,ACTIVE_COHORT_MEMBER,1.0,CLUSTERED,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000004,1.0,1842.96,1842.96,2026-02-19,2026-02-19,306.0,1.0,0,OTHER,Does not match an active roadmap segment rule.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,0,0,0,0,2026-02,ACTIVE_COHORT_MEMBER,2.0,CLUSTERED,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000005,2.0,3260.06,1630.03,2025-12-02,2025-12-24,363.0,2.0,1,AT_RISK,Repeat customer inactive for more than 180 days and not beyond 365 days.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,0,0,1,0,2025-12,ACTIVE_COHORT_MEMBER,0.0,CLUSTERED,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000006,1.0,4497.45,4497.45,2026-11-06,2026-11-06,46.0,1.0,0,NEW,Single-booking customer with recency <= 90 days.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,0,1,0,0,2026-11,ACTIVE_COHORT_MEMBER,3.0,CLUSTERED,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000007,1.0,3455.41,3455.41,2026-06-25,2026-06-25,180.0,1.0,0,OTHER,Does not match an active roadmap segment rule.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,0,0,0,0,2026-06,ACTIVE_COHORT_MEMBER,3.0,CLUSTERED,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000008,2.0,5822.62,2911.31,2026-08-28,2026-09-08,105.0,2.0,1,LOYAL,Repeat customer with recency <= 180 days.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,1,0,0,0,2026-08,ACTIVE_COHORT_MEMBER,0.0,CLUSTERED,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000009,0.0,0.0,0.0,,,0.0,0.0,0,OTHER,Does not match an active roadmap segment rule.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,0,0,0,0,0,,NO_BOOKING,,NO_BOOKING_ACTIVITY,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
C000010,3.0,12121.17,4040.39,2026-01-25,2026-08-09,135.0,0.4592,1,VIP,Top-value customer with total revenue at or above the 90th percentile.,NOT_SUPPORTED,Complaint data is not available in the current dataset.,1,0,0,0,0,2026-01,ACTIVE_COHORT_MEMBER,4.0,CLUSTERED,READY,RULE_BASED_PRIMARY_WITH_COHORT_AND_EXPLORATORY_CLUSTER
