booking_id,customer_id,trip_id,booking_date,booking_amount,booking_status
B000001,C000861,T000048,2026-06-10,885.7,Confirmed
B000002,C003773,T000043,2026-06-27,1126.88,Confirmed
B000003,C003093,T000039,2025-09-09,520.88,Confirmed
B000004,C000467,T000049,2026-02-25,542.95,Confirmed
B000005,C004427,T000049,2026-03-11,2211.3,Confirmed
B000006,C003445,T000012,2025-10-19,4141.24,Confirmed
B000007,C003172,T000045,2025-11-03,3141.52,Confirmed
B000008,C002920,T000010,2026-05-03,3357.11,Confirmed
B000009,C000131,T000007,2025-12-15,2836.62,Confirmed
B000010,C001686,T000046,2026-11-16,4189.07,Confirmed
B000011,C000770,T000001,2026-03-08,4461.7,Confirmed
B000012,C002392,T000049,2025-10-26,4323.83,Confirmed
B000013,C002434,T000036,2026-03-11,4154.59,Confirmed
B000014,C001185,T000021,2026-06-03,1322.21,Confirmed
B000015,C004556,T000037,2025-09-07,3172.44,Cancelled
B000016,C003386,T000024,2025-12-16,3119.73,Confirmed
B000017,C004118,T000025,2026-05-28,2875.75,Confirmed
B000018,C004844,T000007,2025-10-08,2663.66,Confirmed
B000019,C002905,T000042,2026-02-08,901.27,Confirmed
B000020,C000475,T000017,2025-12-08,959.73,Confirmed
B000021,C001083,T000029,2026-10-02,4560.27,Pending
B000022,C002559,T000030,2025-10-17,3335.84,Cancelled
B000023,C002048,T000007,2025-08-10,1680.43,Confirmed
B000024,C002748,T000033,2026-03-09,1756.85,Confirmed
B000025,C000976,T000007,2025-08-09,3245.88,Confirmed
B000026,C001807,T000024,2026-03-09,2331.21,Pending
B000027,C000190,T000011,2026-10-12,2485.96,Confirmed
B000028,C002735,T000009,2025-11-16,772.92,Confirmed
B000029,C003006,T000012,2026-02-26,1124.33,Confirmed
B000030,C004659,T000035,2026-01-20,2270.08,Confirmed
B000031,C001900,T000004,2025-11-10,3648.59,Confirmed
B000032,C001268,T000036,2026-03-15,716.11,Confirmed
B000033,C001529,T000028,2026-03-04,2005.51,Confirmed
B000034,C003203,T000013,2026-02-17,3627.82,Confirmed
B000035,C003557,T000023,2026-05-13,4064.23,Confirmed
B000036,C003891,T000019,2026-08-08,1355.99,Confirmed
B000037,C000647,T000042,2026-01-28,3791.69,Confirmed
B000038,C002889,T000037,2025-09-03,4799.35,Cancelled
B000039,C002436,T000039,2025-09-15,4580.65,Confirmed
B000040,C000601,T000024,2026-01-11,4052.19,Confirmed
B000041,C002364,T000016,2026-04-19,3705.47,Confirmed
B000042,C002062,T000033,2026-06-13,1558.12,Confirmed
B000043,C000242,T000012,2025-11-07,3352.56,Cancelled
B000044,C002042,T000034,2026-07-09,3394.73,Confirmed
B000045,C002825,T000007,2026-01-14,2330.7,Confirmed
B000046,C002613,T000011,2026-07-19,2718.57,Confirmed
B000047,C001364,T000031,2026-01-15,3623.13,Confirmed
B000048,C001479,T000029,2026-10-21,4784.46,Confirmed
B000049,C002557,T000013,2026-01-13,1828.88,Confirmed
B000050,C000776,T000031,2025-10-16,1608.63,Confirmed
B000051,C004015,T000002,2026-11-07,3208.13,Confirmed
B000052,C000035,T000039,2025-10-05,1088.6,Confirmed
B000053,C003153,T000015,2026-01-28,3121.4,Confirmed
B000054,C001956,T000011,2026-10-12,899.83,Confirmed
B000055,C001586,T000034,2026-07-10,2707.63,Confirmed
B000056,C003944,T000039,2025-10-30,3291.86,Confirmed
B000057,C003074,T000004,2025-12-29,815.49,Cancelled
B000058,C001022,T000011,2026-08-10,1431.29,Confirmed
B000059,C003462,T000029,2026-09-22,2009.18,Cancelled
B000060,C002614,T000002,2026-06-28,2158.69,Confirmed
B000061,C003844,T000016,2026-01-11,3542.47,Confirmed
B000062,C001501,T000039,2025-10-18,2880.6,Confirmed
B000063,C004799,T000013,2026-02-06,2219.49,Confirmed
B000064,C000162,T000037,2025-12-02,2528.04,Confirmed
B000065,C004298,T000017,2026-03-02,558.4,Confirmed
B000066,C001982,T000021,2026-04-25,3967.36,Confirmed
B000067,C000996,T000044,2026-02-19,684.52,Confirmed
B000068,C004912,T000019,2026-05-02,4231.93,Confirmed
B000069,C003343,T000007,2025-10-14,2934.48,Confirmed
B000070,C004552,T000038,2026-11-04,2875.19,Confirmed
B000071,C003799,T000008,2026-03-09,3670.6,Cancelled
B000072,C001276,T000013,2026-01-13,4368.02,Cancelled
B000073,C001017,T000037,2026-02-04,4741.91,Pending
B000074,C000338,T000002,2026-07-07,2945.16,Confirmed
B000075,C000879,T000041,2026-07-16,1177.96,Cancelled
B000076,C001077,T000011,2026-07-01,4453.84,Cancelled
B000077,C004888,T000024,2026-04-05,683.02,Confirmed
B000078,C003994,T000006,2026-01-24,4133.02,Confirmed
B000079,C004860,T000026,2025-08-20,3561.9,Pending
B000080,C000380,T000007,2025-11-16,4571.27,Pending
B000081,C000493,T000039,2025-12-22,4538.58,Confirmed
B000082,C002063,T000019,2026-03-24,739.19,Confirmed
B000083,C003885,T000006,2026-01-09,3242.51,Cancelled
B000084,C000065,T000043,2026-09-13,1061.02,Confirmed
B000085,C002569,T000029,2026-08-03,853.11,Confirmed
B000086,C002028,T000043,2026-10-02,2517.25,Pending
B000087,C002696,T000039,2025-11-08,939.19,Cancelled
B000088,C001496,T000002,2026-10-19,3775.56,Pending
B000089,C000392,T000019,2026-03-29,4860.23,Confirmed
B000090,C004515,T000004,2026-02-18,3063.12,Confirmed
B000091,C004475,T000006,2026-05-12,1558.26,Pending
B000092,C003562,T000049,2025-11-13,4294.43,Confirmed
B000093,C002279,T000037,2026-01-31,4338.97,Cancelled
B000094,C003100,T000028,2026-08-17,3797.54,Confirmed
B000095,C000201,T000030,2025-09-20,3268.09,Confirmed
B000096,C004876,T000007,2026-01-01,4405.07,Confirmed
B000097,C003105,T000009,2026-02-04,1234.81,Confirmed
B000098,C004599,T000025,2026-11-01,4692.2,Confirmed
B000099,C002455,T000033,2026-03-25,4762.41,Confirmed
B000100,C003646,T000001,2026-02-26,4423.97,Confirmed
B000101,C000805,T000006,2026-04-04,1627.98,Confirmed
B000102,C002732,T000018,2026-06-27,4361.8,Confirmed
B000103,C002774,T000010,2026-02-16,2739.37,Confirmed
B000104,C001571,T000028,2026-05-15,3177.19,Confirmed
B000105,C002691,T000011,2026-11-12,4282.7,Confirmed
B000106,C003841,T000033,2026-03-29,633.12,Confirmed
B000107,C001029,T000001,2026-01-13,2133.24,Confirmed
B000108,C000503,T000013,2026-03-14,4170.62,Confirmed
B000109,C004494,T000037,2026-01-20,4162.8,Confirmed
B000110,C000871,T000020,2026-08-24,4319.1,Confirmed
B000111,C004489,T000001,2025-12-06,1261.47,Confirmed
B000112,C000207,T000003,2026-04-03,3676.49,Pending
B000113,C001485,T000018,2026-10-05,1159.27,Pending
B000114,C000864,T000041,2026-06-26,4032.94,Confirmed
B000115,C002791,T000014,2026-09-08,1603.07,Confirmed
B000116,C000564,T000031,2025-09-21,3820.18,Pending
B000117,C004192,T000027,2026-07-09,2547.51,Confirmed
B000118,C001758,T000017,2026-04-17,4938.19,Confirmed
B000119,C001679,T000046,2026-11-03,3109.52,Confirmed
B000120,C003243,T000029,2026-10-29,3346.61,Pending
B000121,C004637,T000036,2026-04-03,2156.74,Confirmed
B000122,C001060,T000037,2025-09-15,3805.34,Confirmed
B000123,C001723,T000026,2025-12-21,2726.99,Confirmed
B000124,C003315,T000017,2026-05-04,581.3,Pending
B000125,C003158,T000022,2026-02-18,3238.62,Confirmed
B000126,C002626,T000025,2026-07-24,4237.07,Confirmed
B000127,C002730,T000002,2026-11-10,1565.61,Confirmed
B000128,C001598,T000022,2026-06-04,1494.79,Cancelled
B000129,C003061,T000005,2026-02-16,3239.99,Confirmed
B000130,C002694,T000004,2025-11-14,4180.91,Cancelled
B000131,C004892,T000036,2026-05-22,1623.29,Confirmed
B000132,C003628,T000006,2026-03-30,4695.18,Confirmed
B000133,C001364,T000021,2026-07-22,4673.24,Confirmed
B000134,C001982,T000013,2026-02-19,1402.42,Cancelled
B000135,C001664,T000037,2025-09-04,1687.03,Confirmed
B000136,C001530,T000025,2026-07-14,3652.69,Confirmed
B000137,C002039,T000026,2025-08-19,4782.8,Confirmed
B000138,C003303,T000039,2025-12-06,3694.47,Confirmed
B000139,C002238,T000020,2026-09-08,2502.05,Confirmed
B000140,C001307,T000033,2026-02-08,1260.51,Confirmed
B000141,C004030,T000014,2026-09-17,2574.54,Confirmed
B000142,C002676,T000036,2026-03-12,3230.46,Confirmed
B000143,C001283,T000017,2026-01-03,1989.28,Confirmed
B000144,C000710,T000021,2026-06-05,2796.16,Pending
B000145,C004745,T000046,2026-09-24,1085.96,Confirmed
B000146,C004414,T000016,2025-12-05,2534.85,Confirmed
B000147,C003749,T000046,2026-08-14,908.49,Confirmed
B000148,C004780,T000016,2026-01-27,720.9,Confirmed
B000149,C000664,T000020,2026-10-31,4357.58,Confirmed
B000150,C001999,T000029,2026-08-27,1422.87,Confirmed
B000151,C003446,T000028,2026-03-26,3088.2,Cancelled
B000152,C003744,T000008,2025-11-02,1170.42,Confirmed
B000153,C001496,T000024,2026-05-21,1681.37,Confirmed
B000154,C003305,T000003,2026-04-13,2126.03,Confirmed
B000155,C003764,T000025,2026-07-15,1146.54,Confirmed
B000156,C001854,T000019,2026-06-26,706.83,Confirmed
B000157,C004660,T000033,2026-03-26,4447.22,Confirmed
B000158,C001292,T000002,2026-08-10,553.25,Confirmed
B000159,C003582,T000015,2026-04-01,775.94,Confirmed
B000160,C003458,T000022,2026-03-10,4122.82,Confirmed
B000161,C001637,T000010,2026-04-26,1769.04,Confirmed
B000162,C003697,T000018,2026-09-23,3752.69,Pending
B000163,C003000,T000022,2026-06-09,1158.02,Confirmed
B000164,C003153,T000046,2026-09-13,1567.77,Confirmed
B000165,C000699,T000049,2025-12-30,3077.49,Confirmed
B000166,C002161,T000027,2026-08-17,4948.86,Confirmed
B000167,C004098,T000013,2026-03-08,830.5,Confirmed
B000168,C004738,T000033,2026-05-31,2302.5,Confirmed
B000169,C000855,T000005,2025-11-21,693.86,Confirmed
B000170,C003475,T000026,2025-09-09,1396.52,Confirmed
B000171,C001708,T000013,2026-03-29,4583.62,Confirmed
B000172,C002778,T000027,2026-08-24,934.07,Confirmed
B000173,C001734,T000014,2026-07-11,4355.85,Confirmed
B000174,C004932,T000024,2026-05-17,1300.11,Confirmed
B000175,C003511,T000003,2026-09-01,4378.03,Pending
B000176,C000203,T000047,2026-05-22,2921.1,Confirmed
B000177,C003256,T000049,2026-03-20,4451.93,Confirmed
B000178,C004219,T000030,2025-11-27,1182.67,Confirmed
B000179,C004497,T000035,2026-03-09,3929.16,Confirmed
B000180,C000767,T000048,2026-04-21,3563.14,Cancelled
B000181,C004390,T000014,2026-11-25,2943.2,Cancelled
B000182,C002328,T000012,2026-01-05,4147.64,Confirmed
B000183,C002932,T000028,2026-03-16,3417.24,Cancelled
B000184,C000198,T000044,2026-03-21,4446.71,Confirmed
B000185,C001931,T000029,2026-10-01,2214.78,Cancelled
B000186,C003583,T000043,2026-05-15,3154.65,Confirmed
B000187,C000609,T000017,2026-03-02,4417.7,Confirmed
B000188,C003273,T000040,2026-08-25,1466.66,Cancelled
B000189,C001148,T000049,2025-10-07,2685.84,Confirmed
B000190,C004283,T000021,2026-07-26,4823.34,Pending
B000191,C003398,T000023,2026-09-07,2631.21,Confirmed
B000192,C002512,T000020,2026-09-09,1637.73,Confirmed
B000193,C001795,T000011,2026-11-06,2079.84,Confirmed
B000194,C000660,T000034,2026-08-03,4482.88,Confirmed
B000195,C002812,T000010,2026-06-10,4796.97,Confirmed
B000196,C001370,T000010,2026-02-18,4775.48,Confirmed
B000197,C001987,T000043,2026-09-09,3645.24,Pending
B000198,C000147,T000006,2026-03-16,2793.21,Cancelled
B000199,C003220,T000036,2026-05-04,1322.1,Confirmed
B000200,C002912,T000024,2026-05-03,1054.49,Confirmed
B000201,C001735,T000012,2025-11-11,768.95,Confirmed
B000202,C001844,T000043,2026-07-23,579.72,Confirmed
B000203,C000489,T000023,2026-07-10,4451.53,Pending
B000204,C002977,T000027,2026-04-11,4140.89,Confirmed
B000205,C001960,T000045,2025-11-22,3055.2,Confirmed
B000206,C002386,T000037,2025-10-10,4994.25,Confirmed
B000207,C002920,T000006,2026-02-18,4788.73,Pending
B000208,C004737,T000001,2026-01-31,3447.99,Confirmed
B000209,C001803,T000006,2026-02-15,2590.59,Pending
B000210,C004062,T000050,2026-07-20,1184.77,Confirmed
B000211,C003370,T000022,2026-06-12,2820.17,Confirmed
B000212,C000263,T000041,2026-07-26,1209.85,Confirmed
B000213,C000624,T000024,2025-12-15,2293.03,Confirmed
B000214,C001017,T000025,2026-09-14,4741.92,Confirmed
B000215,C003644,T000015,2026-03-15,2038.91,Confirmed
B000216,C004977,T000026,2025-10-05,1187.54,Confirmed
B000217,C002050,T000008,2025-11-05,3120.78,Pending
B000218,C003724,T000024,2026-03-16,3210.64,Confirmed
B000219,C004549,T000048,2026-04-15,1372.12,Pending
B000220,C003109,T000038,2026-08-01,1384.64,Confirmed
B000221,C004091,T000006,2026-06-14,4952.97,Confirmed
B000222,C002057,T000035,2026-01-29,1594.76,Pending
B000223,C003171,T000042,2025-12-13,4271.86,Cancelled
B000224,C001683,T000001,2026-01-16,2616.46,Confirmed
B000225,C002256,T000046,2026-08-04,2457.45,Confirmed
B000226,C001155,T000036,2026-04-10,1827.33,Cancelled
B000227,C004500,T000012,2026-01-02,3982.22,Cancelled
B000228,C003192,T000038,2026-08-03,4462.97,Cancelled
B000229,C001697,T000011,2026-10-10,1675.07,Confirmed
B000230,C003992,T000012,2026-02-17,927.94,Confirmed
B000231,C004724,T000042,2026-03-18,1116.14,Cancelled
B000232,C004683,T000050,2026-06-23,4067.62,Confirmed
B000233,C001649,T000039,2025-10-03,2461.22,Confirmed
B000234,C001446,T000007,2026-01-10,1093.62,Confirmed
B000235,C004200,T000011,2026-07-28,2031.3,Confirmed
B000236,C003924,T000036,2026-02-21,2814.06,Confirmed
B000237,C000254,T000031,2025-09-21,4334.23,Confirmed
B000238,C003184,T000033,2026-03-15,3387.84,Confirmed
B000239,C002558,T000013,2026-03-12,1292.15,Confirmed
B000240,C000099,T000018,2026-08-29,1214.16,Confirmed
B000241,C002201,T000041,2026-10-28,2355.5,Confirmed
B000242,C002962,T000024,2026-01-18,838.37,Confirmed
B000243,C004974,T000009,2026-04-06,3900.1,Cancelled
B000244,C004434,T000031,2025-11-22,2306.54,Confirmed
B000245,C003778,T000041,2026-07-25,2043.61,Confirmed
B000246,C002870,T000010,2026-02-26,2790.99,Pending
B000247,C003235,T000002,2026-08-23,3690.31,Confirmed
B000248,C003792,T000038,2026-11-21,3062.06,Confirmed
B000249,C000957,T000015,2025-12-29,4110.81,Confirmed
B000250,C004068,T000003,2026-07-20,3332.13,Cancelled
B000251,C000161,T000043,2026-09-28,4045.87,Cancelled
B000252,C004494,T000031,2025-11-06,3635.52,Confirmed
B000253,C001301,T000006,2026-04-20,1369.05,Confirmed
B000254,C004912,T000003,2026-06-05,735.6,Confirmed
B000255,C003988,T000011,2026-06-29,4565.29,Confirmed
B000256,C001528,T000015,2026-02-15,4755.45,Confirmed
B000257,C001219,T000045,2026-01-01,3771.2,Confirmed
B000258,C004497,T000028,2026-07-30,3758.93,Confirmed
B000259,C004736,T000010,2026-05-18,1715.66,Confirmed
B000260,C003105,T000038,2026-10-26,2940.99,Confirmed
B000261,C002736,T000047,2026-03-05,4965.08,Confirmed
B000262,C004556,T000050,2026-09-23,4352.65,Confirmed
B000263,C000955,T000050,2026-05-30,1869.77,Confirmed
B000264,C004566,T000007,2025-09-26,1854.71,Confirmed
B000265,C003447,T000015,2026-05-15,2676.1,Pending
B000266,C001046,T000018,2026-07-16,2320.69,Confirmed
B000267,C001694,T000018,2026-10-28,2170.19,Confirmed
B000268,C003437,T000041,2026-07-08,3321.37,Pending
B000269,C000563,T000024,2026-01-10,551.72,Cancelled
B000270,C002486,T000002,2026-09-06,3935.03,Confirmed
B000271,C003355,T000040,2026-03-11,3830.24,Confirmed
B000272,C000226,T000020,2026-06-13,4236.47,Confirmed
B000273,C004894,T000034,2026-06-21,4286.53,Pending
B000274,C000960,T000043,2026-10-24,3048.8,Confirmed
B000275,C004549,T000026,2025-08-03,4010.33,Confirmed
B000276,C003068,T000007,2025-11-13,2715.78,Cancelled
B000277,C000816,T000038,2026-11-25,4781.88,Confirmed
B000278,C004755,T000030,2026-01-24,1358.14,Confirmed
B000279,C004643,T000042,2026-02-03,4620.28,Confirmed
B000280,C003121,T000005,2026-02-06,1663.39,Confirmed
B000281,C000017,T000011,2026-06-11,962.26,Confirmed
B000282,C001244,T000001,2025-12-12,2475.97,Confirmed
B000283,C002206,T000034,2026-07-14,3267.13,Confirmed
B000284,C002525,T000001,2025-12-05,1539.45,Cancelled
B000285,C001070,T000019,2026-08-17,3001.08,Cancelled
B000286,C003445,T000002,2026-10-24,4135.52,Confirmed
B000287,C002566,T000021,2026-04-26,1656.88,Confirmed
B000288,C001061,T000020,2026-11-26,3111.45,Confirmed
B000289,C002328,T000023,2026-07-24,2026.91,Confirmed
B000290,C003421,T000021,2026-04-30,2883.96,Confirmed
B000291,C000302,T000024,2025-12-27,3501.14,Confirmed
B000292,C004277,T000004,2026-01-01,2076.9,Confirmed
B000293,C000607,T000012,2026-01-21,4975.17,Confirmed
B000294,C003171,T000022,2026-03-15,3036.99,Cancelled
B000295,C000700,T000020,2026-10-13,4210.08,Confirmed
B000296,C001140,T000018,2026-05-17,3763.11,Confirmed
B000297,C000191,T000001,2026-03-02,4337.62,Confirmed
B000298,C002301,T000030,2025-10-23,1282.1,Pending
B000299,C000981,T000033,2026-04-05,1501.49,Confirmed
B000300,C002976,T000024,2026-03-11,2693.35,Confirmed
B000301,C001185,T000014,2026-12-07,4335.48,Pending
B000302,C003328,T000036,2026-01-04,1389.23,Cancelled
B000303,C003395,T000005,2026-01-19,4869.8,Cancelled
B000304,C000128,T000011,2026-08-23,1074.21,Confirmed
B000305,C002066,T000024,2026-05-13,1287.85,Cancelled
B000306,C001817,T000031,2025-09-08,1252.55,Confirmed
B000307,C000570,T000013,2026-02-05,3137.03,Confirmed
B000308,C001896,T000016,2026-04-05,4628.93,Confirmed
