trip_id,destination,trip_type,departure_date,return_date,capacity,base_price
T000001,Mediterranean,Adventure,2026-04-13,2026-04-21,500,4269.7
T000002,Mediterranean,Business,2026-12-15,2026-12-19,1000,3540.61
T000003,Dubai,Family,2026-09-28,2026-10-02,2000,3808.47
T000004,Mediterranean,Cruise,2026-04-17,2026-04-20,2000,1440.82
T000005,Dubai,Adventure,2026-03-13,2026-03-17,1000,2936.52
T000006,Jeddah,Business,2026-07-08,2026-07-15,1500,3631.03
T000007,Red Sea,Adventure,2026-01-21,2026-01-25,500,1528.48
T000008,Red Sea,Business,2026-04-13,2026-04-19,2500,1287.3
T000009,Red Sea,Business,2026-05-02,2026-05-08,500,4919.76
T000010,Mediterranean,Family,2026-08-03,2026-08-12,500,2824.86
T000011,Jeddah,Business,2026-11-27,2026-12-03,1500,1673.73
T000012,Mediterranean,Adventure,2026-03-29,2026-04-07,500,4983.14
T000013,Mediterranean,Business,2026-04-10,2026-04-16,1000,4844.39
T000014,Jeddah,Family,2026-12-26,2027-01-02,1000,3012.32
T000015,Jeddah,Family,2026-06-01,2026-06-11,2000,4471.86
T000016,Jeddah,Adventure,2026-05-11,2026-05-20,2500,1349.18
T000017,Jeddah,Luxury,2026-05-30,2026-06-04,500,1754.92
T000018,Red Sea,Luxury,2026-11-05,2026-11-13,500,3651.61
T000019,Abu Dhabi,Business,2026-09-15,2026-09-18,1500,4309.98
T000020,Abu Dhabi,Cruise,2026-12-10,2026-12-16,1000,4353.46
T000021,Jeddah,Business,2026-10-21,2026-10-25,2500,2320.29
T000022,Abu Dhabi,Adventure,2026-07-11,2026-07-21,2000,4494.97
T000023,Abu Dhabi,Adventure,2026-10-04,2026-10-10,1000,4329.18
T000024,Jeddah,Adventure,2026-06-10,2026-06-14,2000,4710.36
T000025,Abu Dhabi,Adventure,2026-11-10,2026-11-18,1500,4034.03
T000026,Mediterranean,Adventure,2026-01-22,2026-01-30,1500,3510.45
T000027,Dubai,Family,2026-09-10,2026-09-18,500,3113.09
T000028,Dubai,Luxury,2026-08-24,2026-08-28,2500,2175.27
T000029,Jeddah,Adventure,2026-12-11,2026-12-17,2000,4730.6
T000030,Red Sea,Cruise,2026-02-18,2026-02-26,1000,4881.49
T000031,Jeddah,Cruise,2026-02-28,2026-03-07,1500,1777.64
T000032,Red Sea,Cruise,2026-06-19,2026-06-28,500,1874.14
T000033,Dubai,Cruise,2026-07-07,2026-07-11,500,2685.26
T000034,Jeddah,Family,2026-09-28,2026-10-02,2000,2517.91
T000035,Mediterranean,Cruise,2026-07-09,2026-07-15,1500,4975.06
T000036,Abu Dhabi,Adventure,2026-06-24,2026-06-28,2500,1291.66
T000037,Red Sea,Business,2026-02-20,2026-02-24,1500,581.34
T000038,Abu Dhabi,Cruise,2026-12-30,2027-01-07,2000,2722.52
T000039,Abu Dhabi,Family,2026-02-24,2026-03-02,2000,1304.7
T000040,Jeddah,Family,2026-09-01,2026-09-09,1500,2149.11
T000041,Abu Dhabi,Cruise,2026-11-16,2026-11-25,2000,3848.77
T000042,Mediterranean,Business,2026-05-11,2026-05-21,1500,3744.23
T000043,Abu Dhabi,Cruise,2026-11-03,2026-11-12,1000,1886.27
T000044,Jeddah,Family,2026-05-15,2026-05-25,1500,2941.43
T000045,Mediterranean,Luxury,2026-01-21,2026-01-29,1500,2789.66
T000046,Dubai,Adventure,2026-11-25,2026-12-04,2000,3363.5
T000047,Abu Dhabi,Family,2026-06-16,2026-06-22,2000,1627.08
T000048,Jeddah,Cruise,2026-10-01,2026-10-04,500,3154.42
T000049,Dubai,Adventure,2026-03-30,2026-04-07,500,4905.02
T000050,Dubai,Cruise,2026-11-12,2026-11-22,1000,2690.34
